Probe	logFC	A	pvalue	adjpvalue
hsa-miR-671-5p	4.669710354	3.042908989	1.12E-05	0.000140401
hsa-miR-654-5p	4.654828849	2.450976166	1.70E-06	6.72E-05
hsa-miR-601	4.419117162	2.485737985	5.33E-07	6.72E-05
hsa-miR-1202	4.320032569	7.327862595	0.005580285	0.012965956
hsa-miR-198	4.308710588	2.48910757	1.36E-05	0.000142978
hsa-miR-923_v12.0	4.266586196	13.33070483	0.000164785	0.000964296
hsa-miR-1224-5p	4.185800857	2.961234375	8.33E-06	0.000119709
hsa-miR-1915	4.11354194	6.673450461	0.001644052	0.005043887
hsa-miR-1308	4.059089082	4.513065768	0.002672702	0.007408544
hsa-miR-494	4.009421414	4.447294211	0.005174661	0.012294682
hsa-miR-371-5p	3.971490055	1.865740842	5.72E-06	0.000110153
hcmv-miR-UL70-3p	3.912067528	4.148230572	0.008351555	0.017565068
hsa-miR-877	3.842568729	1.909379628	5.93E-06	0.000110153
hsa-miR-513b	3.729700661	1.89309612	5.40E-05	0.000416179
hsa-miR-663	3.609244512	3.506855886	0.005016187	0.012100116
hsa-miR-939	3.443416598	4.119044817	0.000150837	0.000916626
hsa-miR-99b*	3.392084705	1.361775236	8.25E-05	0.000579214
hsa-miR-1226*	3.387324123	2.580014002	5.83E-06	0.000110153
hsa-miR-887	3.356866895	1.657542811	0.000196988	0.001111578
hsa-miR-320a	3.332767253	4.952167611	0.008368751	0.017565068
ebv-miR-BART16	3.329997475	2.055993856	0.000441323	0.001936919
hsa-miR-638	3.305493666	7.535643961	0.00011363	0.000732795
hsa-miR-1182	3.301670769	2.173154354	9.39E-06	0.000128963
hsa-miR-1181	3.266465003	3.800866955	0.002044808	0.005928068
hsa-miR-422a	3.239072159	2.006005722	4.80E-05	0.00038876
hsa-miR-520e	3.228714323	2.194617374	2.08E-06	7.31E-05
hsa-miR-630	3.222349439	8.901616769	6.88E-05	0.000517605
hsa-miR-1275	3.177938786	6.646293424	0.000770456	0.002898383
hsa-miR-595	3.106758009	2.214144293	0.001228528	0.003961376
hsa-miR-1826	3.101069442	2.6455125	0.000522442	0.002201221
hcmv-miR-US4	3.08659946	1.561550949	1.58E-05	0.000151337
hsa-miR-32*	2.975700386	1.78189355	0.002341257	0.006665201
ebv-miR-BART12	2.96465216	3.629357825	0.018174875	0.033783885
hsa-miR-339-3p	2.904685143	1.678572447	0.00072776	0.002770748
hsa-miR-572	2.853174721	2.998530484	0.003494249	0.008977095
hsa-miR-320c	2.793534146	8.145354723	0.000280325	0.0015014
hsa-miR-1471	2.790779311	2.39366562	0.000356414	0.001680995
hsa-miR-513c	2.78706064	1.336906375	0.000302642	0.001593915
hsa-miR-574-5p	2.744734032	5.558635304	0.017663563	0.03322432
ebv-miR-BART13	2.665066716	3.572818313	0.002150658	0.006178254
hsa-miR-659	2.641927049	1.802569789	1.25E-05	0.000140401
hsa-miR-629*	2.59252604	1.934857938	0.000113171	0.000732795
hsa-miR-520b	2.577833371	3.35423728	2.52E-05	0.000220999
hsa-miR-1299	2.575336277	1.696449103	0.000542283	0.002249785
hsa-miR-1300_v13.0	2.568838552	1.726354471	3.85E-05	0.00031989
kshv-miR-K12-8_v14.0	2.472585181	1.029796726	0.001342093	0.004199023
hsa-miR-936	2.419011196	1.362008517	1.17E-05	0.000140401
hsa-miR-583	2.394277074	1.529872144	0.000105418	0.000708765
hsa-miR-1306	2.380518357	2.678185501	0.000662511	0.002553091
hsa-miR-1914*	2.305898712	3.685151474	0.024875561	0.043429156
hsa-miR-760	2.211614308	0.949443965	0.010402215	0.020936942
hsa-miR-30c-1*	2.169553864	1.403399177	0.006140186	0.013859276
hsa-miR-1228*	2.086099186	1.628283502	0.005407458	0.012751917
hsa-miR-126	2.084734551	2.141172358	0.02230681	0.039577498
hsa-miR-662	2.005030454	0.758002563	0.000134191	0.000848084
hsa-miR-623	1.977178142	1.17064068	9.01E-05	0.00061862
hsa-miR-516a-5p	1.966719365	1.698332688	0.000308074	0.001595926
ebv-miR-BART7	1.870114236	0.963511129	0.020586375	0.037107002
hsa-miR-564	1.859598305	0.958240742	0.000548207	0.002249785
hsa-miR-877*	1.812908203	1.236166453	0.000644296	0.00252733
hsa-miR-1180	1.792184946	1.829003302	0.012099912	0.023748897
hsa-miR-128	1.726696527	3.055387444	0.020929984	0.037366526
hsa-miR-193b*	1.701820318	1.474021608	0.004473933	0.010875098
hsa-miR-30c-2*	1.68942514	1.35984191	0.0067188	0.014744033
hsa-miR-149*	1.649103023	0.870445778	0.018887284	0.034699895
hsa-miR-125b-1*	1.637693369	1.033063629	0.000162637	0.000964296
hsa-miR-9*	1.615307496	1.326459331	0.000405543	0.001830738
hsa-miR-636	1.508458779	1.180058748	0.00671393	0.014744033
hsv1-miR-H2	1.418508084	1.023137159	0.000328267	0.001673103
hsa-miR-186*	1.406670228	0.983846701	0.000354109	0.001680995
ebv-miR-BHRF1-1	1.370444112	0.907882766	0.003300559	0.008655874
hsa-miR-490-5p	1.348157766	0.592858268	0.013089746	0.02537644
hsa-miR-769-3p	1.261907369	0.903835306	0.001728854	0.005253058
hsa-miR-596	1.222960398	0.561571499	0.001769487	0.005325313
hsa-miR-602	1.2198375	2.125993469	0.003778748	0.009552674
hsa-miR-509-5p	1.198623037	0.958055113	0.00051303	0.002190779
hsa-miR-1469	1.198385224	1.287584966	0.003588038	0.009143709
kshv-miR-K12-10b	1.168009247	0.988583641	0.000820246	0.003013927
hsa-miR-516b	1.146247685	1.015684719	0.008618025	0.017916419
hsa-miR-874	1.141158297	3.16218669	0.006189427	0.013871341
hsa-miR-342-3p	1.133598621	10.09998367	0.001022088	0.003472902
ebv-miR-BART4	1.13225459	0.783144358	0.010104795	0.020468687
ebv-miR-BART3*	1.06993071	0.843441767	0.008917597	0.018418043
hsa-miR-492	1.047889803	1.055351834	0.001394924	0.00432153
hsa-miR-345	1.01282087	0.780085305	0.004103969	0.010211451
hsa-miR-1249	0.990759542	3.709828293	0.023863295	0.04189334
hsa-miR-1229	0.864475079	0.746337916	0.00328353	0.008655874
hsa-miR-634	0.82191431	0.749754312	0.009384092	0.019131439
hsa-miR-183	0.75127655	0.443482526	0.015092004	0.028903474
hsa-miR-373*	0.67556466	1.244545979	0.017364808	0.03285796
hsa-miR-28-3p	0.654677201	0.41950271	0.010741127	0.021482255
hsa-miR-370	0.621128325	0.925210668	0.019875608	0.036304578
